name,julia_id
Horton-Redfort,311
Hosteen-Frey,312
Hoster-Blackwood,313
Hoster-Tully,314
Hother-Umber,315
Hotho-Harlaw,316
Hot-Pie,317
Howland-Reed,318
Hugh,319
Hugh-Hungerford,320
Hugo-Vance,321
Hullen,322
Humfrey-Hewett,323
Husband,324
Hyle-Hunt,325
Illifer,326
Illyrio-Mopatis,327
Ilyn-Payne,328
Imry-Florent,329
Irri,330
Jacelyn-Bywater,331
Jack-Be-Lucky,332
Jack-Bulwer,333
Jacks,334
Jaehaerys-I-Targaryen,335
Jafer-Flowers,336
Jaime-Lannister,337
Jalabhar-Xho,338
Janos-Slynt,339
Jaqen-Hghar,340
Jared-Frey,341
Jaremy-Rykker,342
Jarl,343
Jarman-Buckwell,344
Jason-Mallister,345
Jeor-Mormont,346
Jeyne-Farman,347
Jeyne-Heddle,348
Jeyne-Poole,349
Jeyne-Westerling,350
Jhiqui,351
Jhogo,352
Joanna-Lannister,353
Jocelyn-Swyft,354
Joffrey-Baratheon,355
Jojen-Reed,356
Jommo,357
Jon-Arryn,358
Jon-Connington,359
Jon-Fossoway,360
Jonos-Bracken,361
Jonothor-Darry,362
Jonquil,363
Jon-Snow,364
Jon-Umber-(Greatjon),365
Jon-Umber-(Smalljon),366
Jorah-Mormont,367
Joramun,368
Jory-Cassel,369
Joseth,370
Josmyn-Peckledon,371
Joss,372
Joy-Hill,373
Justin-Massey,374
Jyck,375
Karyl-Vance,376
Kasporio,377
Kedry,378
Kegs,379
Kella,380
Kerwin,381
Kevan-Lannister,382
Khorane-Sathmantes,383
Khrazz,384
Kindly-Man,385
Kojja-Mo,386
Koss,387
Kraznys-mo-Nakloz,388
Kurleket,389
Kurz,390
Kyra,391
Lambert-Turnberry,392
Lamprey,393
Lancel-Lannister,394
Lanna-(Happy-Port),395
Lark,396
Larraq,397
Leaf,398
Leathers,399
Lem,400
Lemore,401
Leobald-Tallhart,402
Leo-Lefford,403
Leona-Woolfield,404
Leonette-Fossoway,405
Leo-Tyrell,406
Lewyn-Martell,407
Lewys-Piper,408
Lollys-Stokeworth,409
Lommy-Greenhands,410
Longwater-Pyke,411
Loras-Tyrell,412
Lorent-Caswell,413
Lorren,414
Lothar-Frey,415
Lothor-Brune,416
Lucas-Codd,417
Lucifer-Long,418
Luton,419
Luwin,420
Lyanna-Mormont,421
Lyanna-Stark,422
Lyle-Crakehall,423
Lyn-Corbray,424
Lynesse-Hightower,425
Lyonel-Corbray,426
Lysa-Arryn,427
Lysono-Maar,428
Mace-Tyrell,429
Maddy,430
Mad-Huntsman,431
Maege-Mormont,432
Maegor-I-Targaryen,433
Maekar-I-Targaryen,434
Maggy,435
Mag-Mar-Tun-Doh-Weg,436
Malaquo-Maegyr,437
Malegorn,438
Mallador-Locke,439
Mance-Rayder,440
Mandon-Moore,441
Manfrey-Martell,442
Margaery-Tyrell,443
Marghaz-zo-Loraq,444
Marillion,445
Mariya-Darry,446
Mark-Mullendore,447
Marlon-Manderly,448
Maron-Greyjoy,449
Marq-Piper,450
Marselen,451
Martyn-Lannister,452
Martyn-Rivers,453
Marwyn,454
Marya-Seaworth,455
Masha-Heddle,456
Mathis-Rowan,457
Matthar,458
Matthos-Seaworth,459
Mebble,460
Meera-Reed,461
Megga-Tyrell,462
Melara-Hetherspoon,463
Meldred-Merlyn,464
Melisandre,465
Mellei,466
Meralyn,467
Meribald,468
Meris,469
Mero,470
Merrett-Frey,471
Merrit,472
Meryn-Trant,473
Mezzara,474
Mikken,475
Miklaz,476
Mirri-Maz-Duur,477
Missandei,478
Moelle,479
Mollander,480
Monford-Velaryon,481
Moon-Boy,482
Moqorro,483
Mord,484
Mordane,485
Moreo-Tumitis,486
Morgo,487
Morra,488
Morrec,489
Mors-Umber,490
Mully,491
Munda,492
Murch,493
Murenmure,494
Mya-Stone,495
Mycah,496
Mychel-Redfort,497
Myles-Toyne,498
Myranda-Royce,499
Myrcella-Baratheon,500
Nage,501
Nan,502
Narbert,503
Narbert-Grandison,504
Nestor-Royce,505
Nurse,506
Nute,507
Nyessos-Vhassar,508
Nymeria-Sand,509
Obara-Sand,510
Oberyn-Martell,511
Ogo,512
Old-Bill-Bone,513
Olenna-Redwyne,514
Olyvar-Frey,515
Orell,516
Orton-Merryweather,517
Osfryd-Kettleblack,518
Osha,519
Osmund-Kettleblack,520
Osney-Kettleblack,521
Oswell-Kettleblack,522
Oswell-Whent,523
Othell-Yarwyck,524
Othor,525
Ottyn-Wythers,526
Owen,527
Owen-Merryweather,528
Oznak-zo-Pahl,529
Palla,530
Patchface,531
Pate-(novice),532
Pate-(Old),533
Pate-(whipping-boy),534
Patrek-of-Kings-Mountain,535
Paxter-Redwyne,536
Penny,537
Perwyn-Frey,538
Petyr-Baelish,539
Petyr-Frey,540
Pia,541
Podrick-Payne,542
Polliver,543
Pono,544
Porridge,545
Porther,546
Poxy-Tym,547
Praed,548
Prendahl-na-Ghezn,549
Preston-Greenfield,550
Puckens,551
Pyat-Pree,552
Pycelle,553
Pyg,554
Pylos,555
Pypar,556
Qarl-the-Maid,557
Qavo-Nogarys,558
Qezza,559
Qhorin-Halfhand,560
Qotho,561
Quaithe,562
Quaro,563
Quellon-Greyjoy,564
Quentyn-Martell,565
Quhuru-Mo,566
Quill,567
Qyburn,568
Rafford,569
Ragwyle,570
Rakharo,571
Ralf-(Limper),572
Ralf-Stonehouse,573
Ramsay-Snow,574
Randyll-Tarly,575
Rast,576
Rattleshirt,577
Ravella-Swann,578
Raymun-Darry,579
Raymun-Redbeard,580
Raynald-Westerling,581
Raynard,582
Red-Oarsman,583
Reek,584
Renly-Baratheon,585
Rennifer-Longwaters,586
Reznak-mo-Reznak,587
Rhaegar-Frey,588
Rhaegar-Targaryen,589
Rhaegel-Targaryen,590
Rhaego,591
Rhaella-Targaryen,592
Rhaenys-Targaryen,593
Rhaenys-Targaryen-(daughter-of-Rhaegar),594
Ricasso,595
Richard-Horpe,596
Rickard-Karstark,597
Rickard-Stark,598
Rickon-Stark,599
Robar-Royce,600
Robb-Stark,601
Robert-Arryn,602
Robert-Baratheon,603
Robert-Strong,604
Robett-Glover,605
Robin-Flint,606
Robin-Ryger,607
Rodrik-Cassel,608
Rodrik-Harlaw,609
